Year,Non-Resident Moroccans,France,United Kingdom,Germany,Middle East,Spain,U.S.A,Belgium,Italy,Holland,Maghreb,Scandinavia,Residents
2012,12619883,4986161,1362058,918321,570832,685812,269466,592259,370346,308462,348079,106742,4930865
2013,14052135,5151424,1520508,1003291,617507,715842,314631,662744,405524,336289,466716,151578,5179340
2014,14415778,4822997,1722235,1199220,622758,759515,373522,641933,434925,311272,338543,197588,5316719
2015,12555729,3767329,1727192,1347531,699695,633463,363044,535761,272970,265967,320804,154987,5907000
2016,12713503,3626829,1764182,1265960,713213,607306,373749,503409,218362,252606,376443,158379,6563151
2017,15057498,4181071,1896308,1746289,622737,725170,483901,556056,272837,331329,339156,256455,7056802
2018,16865654,4696100,2018473,1872527,575942,884355,601702,557091,366204,402820,313510,308727,7165754
2019,17406273,4852737,2223512,1745560,617392,876600,672398,559551,418826,436033,336030,211729,7837716
2020,3469971,1046440,383248,332224,160804,154499,122859,102202,87032,82288,74848,48067,3505649
