Year,Foreign tourists,France,Spain,United Kingdom,Germany,Italy,United States,Belgium,Holland,Maghreb,China,Scandinavia,Others,MRE
2012,5011729,1769710,730882,357347,199349,196186,140045,255290,204767,219280,6899,67165,864809,4363427
2013,5323333,1782056,682834,403325,237852,234912,160033,272593,210859,270227,7871,83999,976772,4722931
2014,5437453,1798190,683761,476550,255124,254209,167267,267308,191158,213675,9403,95193,1025615,4845491
2015,5151704,1563568,626896,504475,286328,227961,181468,243815,183349,195214,10515,83554,1044561,5025058
2016,5103204,1449757,615720,458561,260255,219334,197858,238984,182379,209823,42844,93009,1134680,5228527
2017,5864917,1614011,710729,486262,331185,246312,254531,259658,214016,207885,107434,118460,1314434,5484427
2018,6679101,1844397,814069,510516,394328,305505,304960,273535,237539,214295,132081,136157,1511719,5609607
2019,7043006,1990813,880818,551499,413384,351916,346702,272328,241065,227281,141050,104264,1521886,5889254
2020,1407994,412179,200136,113258,79077,57105,54103,40603,40909,49240,20529,22119,318736,1369808
